Title,Price_Text,Price_Numeric,Location,Bedrooms,Bathrooms,Area_Size,Area_Unit,Area_Sqft
Prominently-Located 10 Marla House Available In Defence Raya,7.7 Crore,77000000.0,"Defence Raya, DHA Defence",4.0,4.0,10.0,Marla,2722.5
1 Kanal Brand New Luxury Modern Bungalow for sale in Johar Town phase 2 (All Original Picture Attached),10.5 Crore,105000000.0,"Johar Town, Lahore",5.0,6.0,1.0,Kanal,5445.0
1 Kanal Slightly Used Bungalow For Sale At Hot Location,7.5 Crore,75000000.0,"DHA Phase 3 - Block XX, DHA Phase 3",5.0,6.0,1.0,Kanal,5445.0
One Kanal Brand New Elite Class Bungalow For Sale Near To Park & Jalal Sons Hot Location,9.25 Crore,92500000.0,"DHA Phase 5 - Block J, DHA Phase 5",5.0,6.0,1.0,Kanal,5445.0
Your Dream Fully Furnished 2 Kanal House Is Available In DHA Phase 2,35 Crore,350000000.0,"DHA Phase 2, DHA Defence",6.0,6.0,2.0,Kanal,10890.0
1 Kanal Full Furnished Beautiful House For Sale Hot Location,11 Crore,110000000.0,"Valencia Housing Society, Lahore",6.0,7.0,1.0,Kanal,5445.0
1 Kanal Adorable Bungalow On Top Location For Sale in DHA Phase 7 Lahore,6 Crore,60000000.0,"DHA Phase 7 - Block R, DHA Phase 7",5.0,6.0,1.0,Kanal,5445.0
1 Kanal Adorable Bungalow On Top Location For Sale in DHA Phase 7 Lahore,6 Crore,60000000.0,"DHA Phase 7, DHA Defence",5.0,6.0,1.0,Kanal,5445.0
1 Kanal Adorable Bungalow On Top Location For Sale in DHA Phase 6 Lahore,9 Crore,90000000.0,"DHA Phase 6, DHA Defence",5.0,6.0,1.0,Kanal,5445.0
Near Dolmen Mall 1 Kanal Full Basement Full Basement Victorian Design Bungalow For Sale At Prime Location,9.95 Crore,99500000.0,"DHA Phase 6 - Block G, DHA Phase 6",5.0,6.0,1.2,Kanal,6534.0
Near To Park 1 Kanal Modern Beautiful Design Bungalow For Sale At Prime Location,6.05 Crore,60500000.0,"DHA Phase 7 - Block Q, DHA Phase 7",5.0,6.0,1.0,Kanal,5445.0
Owner Needy 1 Kanal With Basement Almost Brand New Beautiful Design Bungalow For Sale At Prime Location,7.25 Crore,72500000.0,"DHA Phase 5 - Block B, DHA Phase 5",6.0,7.0,1.0,Kanal,5445.0
Just Like 1 Kanal With Basement Victorian Beautiful Design Bungalow For Sale At Prime Location,7.85 Crore,78500000.0,"DHA Phase 5 - Block D, DHA Phase 5",5.0,7.0,1.0,Kanal,5445.0
